model,trained_on,avg_acc
vcl_ewc,1,0.9905
vcl_ewc,2,0.97425
vcl_ewc,3,0.9758333333333334
vcl_ewc,4,0.9815
vcl_ewc,5,0.9618
vcl,1,0.9925
vcl,2,0.97175
vcl,3,0.9593333333333334
vcl,4,0.964625
vcl,5,0.9044
vcl_random_200,1,0.9905
vcl_random_200,2,0.94275
vcl_random_200,3,0.9426666666666668
vcl_random_200,4,0.93425
vcl_random_200,5,0.8613
vcl_k-center_200,1,0.9935
vcl_k-center_200,2,0.94425
vcl_k-center_200,3,0.9471666666666668
vcl_k-center_200,4,0.935375
vcl_k-center_200,5,0.8632000000000001
coreset_only_random_200,1,0.968
coreset_only_random_200,2,0.93775
coreset_only_random_200,3,0.9233333333333332
coreset_only_random_200,4,0.682625
coreset_only_random_200,5,0.6549999999999999
coreset_only_k-center_200,1,0.9765
coreset_only_k-center_200,2,0.905
coreset_only_k-center_200,3,0.8300000000000001
coreset_only_k-center_200,4,0.648625
coreset_only_k-center_200,5,0.6192
ewc,1,0.989
ewc,2,0.7342500000000001
ewc,3,0.7686666666666667
ewc,4,0.753
ewc,5,0.7403
