model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9935],0.9935,0.0,0.0
vcl,2,"[0.993, 0.9535]",0.97325,0.0,0.0
vcl,3,"[0.992, 0.9495, 0.9915]",0.9776666666666666,0.0,0.0
vcl,4,"[0.989, 0.9435, 0.993, 0.992]",0.979375,0.0,0.0
vcl,5,"[0.9775, 0.9185, 0.919, 0.917, 0.99]",0.9444,2.9373541666666663,-1.9373541666666665
vcl_random_200,1,[0.991],0.991,0.0,0.0
vcl_random_200,2,"[0.5355, 0.897]",0.71625,0.0,0.0
vcl_random_200,3,"[0.5295, 0.69, 0.8935]",0.7043333333333334,0.0,0.0
vcl_random_200,4,"[0.5425, 0.786, 0.8375, 0.9085]",0.768625,0.0,0.0
vcl_random_200,5,"[0.5205, 0.6025, 0.5005, 0.538, 0.9285]",0.6180000000000001,2.3003958333333334,-1.3003958333333334
vcl_k-center_200,1,[0.9905],0.9905,0.0,0.0
vcl_k-center_200,2,"[0.9705, 0.905]",0.93775,0.0,0.0
vcl_k-center_200,3,"[0.5985, 0.9305, 0.8915]",0.8068333333333332,0.0,0.0
vcl_k-center_200,4,"[0.9305, 0.652, 0.389, 0.5295]",0.62525,0.0,0.0
vcl_k-center_200,5,"[0.772, 0.566, 0.621, 0.5475, 0.92]",0.6853,2.552458333333333,-1.552458333333333
vcl_pca-k-center_200,1,[0.9915],0.9915,0.0,0.0
vcl_pca-k-center_200,2,"[0.9865, 0.8805]",0.9335,0.0,0.0
vcl_pca-k-center_200,3,"[0.9895, 0.9105, 0.893]",0.931,0.0,0.0
vcl_pca-k-center_200,4,"[0.9265, 0.9015, 0.545, 0.771]",0.7859999999999999,0.0,0.0
vcl_pca-k-center_200,5,"[0.9365, 0.597, 0.5015, 0.8095, 0.937]",0.7563000000000001,2.7532500000000004,-1.7532500000000004
vcl_ewc,1,[0.9905],0.9905,0.0,0.0
vcl_ewc,2,"[0.9905, 0.958]",0.97425,0.0,0.0
vcl_ewc,3,"[0.9875, 0.954, 0.986]",0.9758333333333334,0.0,0.0
vcl_ewc,4,"[0.988, 0.9505, 0.992, 0.9955]",0.9815,0.0,0.0
vcl_ewc,5,"[0.9775, 0.956, 0.9315, 0.95, 0.994]",0.9618,2.9360833333333334,-1.9360833333333327
vcl_ewc_random_200,1,[0.9925],0.9925,0.0,0.0
vcl_ewc_random_200,2,"[0.537, 0.899]",0.718,0.0,0.0
vcl_ewc_random_200,3,"[0.6165, 0.899, 0.9675]",0.8276666666666667,0.0,0.0
vcl_ewc_random_200,4,"[0.5095, 0.9215, 0.8915, 0.9205]",0.81075,0.0,0.0
vcl_ewc_random_200,5,"[0.583, 0.5125, 0.5885, 0.507, 0.947]",0.6275999999999999,2.447291666666666,-1.4472916666666666
vcl_ewc_k-center_200,1,[0.9895],0.9895,0.0,0.0
vcl_ewc_k-center_200,2,"[0.8805, 0.864]",0.87225,0.0,0.0
vcl_ewc_k-center_200,3,"[0.921, 0.8735, 0.858]",0.8841666666666668,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9005, 0.892, 0.39, 0.531]",0.6783750000000001,0.0,0.0
vcl_ewc_k-center_200,5,"[0.9255, 0.53, 0.476, 0.366, 0.8395]",0.6274,2.5903541666666667,-1.5903541666666667
vcl_ewc_pca-k-center_200,1,[0.9925],0.9925,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.654, 0.879]",0.7665,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.53, 0.8665, 0.9265]",0.7743333333333333,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.5205, 0.5845, 0.5985, 0.667]",0.592625,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.342, 0.514, 0.5805, 0.553, 0.932]",0.5843,2.3333958333333333,-1.3333958333333331
coreset_only_random_200,1,[0.9615],0.9615,0.0,0.0
coreset_only_random_200,2,"[0.936, 0.924]",0.93,0.0,0.0
coreset_only_random_200,3,"[0.9545, 0.498, 0.938]",0.7968333333333334,0.0,0.0
coreset_only_random_200,4,"[0.962, 0.395, 0.657, 0.879]",0.7232500000000001,0.0,0.0
coreset_only_random_200,5,"[0.932, 0.4135, 0.3775, 0.1685, 0.9435]",0.567,2.569208333333333,-1.5692083333333335
coreset_only_k-center_200,1,[0.978],0.978,0.0,0.0
coreset_only_k-center_200,2,"[0.9705, 0.8935]",0.932,0.0,0.0
coreset_only_k-center_200,3,"[0.856, 0.5745, 0.868]",0.7661666666666666,0.0,0.0
coreset_only_k-center_200,4,"[0.786, 0.402, 0.867, 0.506]",0.64025,0.0,0.0
coreset_only_k-center_200,5,"[0.6425, 0.4675, 0.807, 0.6665, 0.801]",0.6769000000000001,2.5072916666666663,-1.5072916666666665
coreset_only_pca-k-center_200,1,[0.974],0.974,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.9105, 0.8975]",0.904,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.5085, 0.879, 0.8265]",0.738,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.7865, 0.734, 0.2995, 0.76]",0.645,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.925, 0.735, 0.205, 0.763, 0.9195]",0.7095,2.4515,-1.4515000000000002
vcl_ewc,1,[0.9915],0.9915,0.0,0.0
vcl_ewc,2,"[0.9905, 0.9485]",0.9695,0.0,0.0
vcl_ewc,3,"[0.9865, 0.9615, 0.983]",0.977,0.0,0.0
vcl_ewc,4,"[0.9785, 0.959, 0.982, 0.9865]",0.9765,0.0,0.0
vcl_ewc,5,"[0.9705, 0.9535, 0.993, 0.9905, 0.983]",0.9781,3.9039416666666655,-2.9039416666666664
vcl_ewc_random_200,1,[0.9935],0.9935,0.0,0.0
vcl_ewc_random_200,2,"[0.5285, 0.9075]",0.718,0.0,0.0
vcl_ewc_random_200,3,"[0.583, 0.8105, 0.983]",0.7921666666666667,0.0,0.0
vcl_ewc_random_200,4,"[0.4695, 0.7215, 0.46, 0.976]",0.65675,0.0,0.0
vcl_ewc_random_200,5,"[0.5635, 0.653, 0.2955, 0.5725, 0.988]",0.6145,3.072216666666667,-2.072216666666667
vcl_ewc_k-center_200,1,[0.993],0.993,0.0,0.0
vcl_ewc_k-center_200,2,"[0.9875, 0.908]",0.94775,0.0,0.0
vcl_ewc_k-center_200,3,"[0.9745, 0.8475, 0.6705]",0.8308333333333334,0.0,0.0
vcl_ewc_k-center_200,4,"[0.948, 0.869, 0.529, 0.5695]",0.728875,0.0,0.0
vcl_ewc_k-center_200,5,"[0.916, 0.915, 0.5205, 0.9015, 0.621]",0.7747999999999999,3.281325,-2.281325
vcl_ewc_pca-k-center_200,1,[0.9905],0.9905,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.659, 0.8995]",0.77925,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.6135, 0.61, 0.9125]",0.7120000000000001,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.745, 0.5345, 0.886, 0.947]",0.7781250000000001,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.946, 0.5, 0.5005, 0.7295, 0.9205]",0.7193,2.9898166666666666,-1.9898166666666663
coreset_only_random_200,1,[0.974],0.974,0.0,0.0
coreset_only_random_200,2,"[0.829, 0.929]",0.879,0.0,0.0
coreset_only_random_200,3,"[0.902, 0.9035, 0.9405]",0.9153333333333332,0.0,0.0
coreset_only_random_200,4,"[0.912, 0.887, 0.8195, 0.8785]",0.87425,0.0,0.0
coreset_only_random_200,5,"[0.499, 0.382, 0.026, 0.218, 0.9165]",0.4083,3.329833333333333,-2.329833333333333
coreset_only_k-center_200,1,[0.97],0.97,0.0,0.0
