trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,0.9905,vcl,[0.9905]
2,,0.9735,vcl,"[0.992, 0.955]"
3,,0.9591666666666666,vcl,"[0.9775, 0.9155, 0.9845]"
4,,0.946375,vcl,"[0.9565, 0.8545, 0.984, 0.9905]"
5,,0.9649,vcl,"[0.959, 0.9075, 0.9855, 0.9895, 0.983]"
1,,0.9925,vcl_random_200,[0.9925]
2,,0.879,vcl_random_200,"[0.893, 0.865]"
3,,0.9468333333333332,vcl_random_200,"[0.979, 0.94, 0.9215]"
4,,0.903375,vcl_random_200,"[0.9605, 0.8965, 0.942, 0.8145]"
5,,0.8431,vcl_random_200,"[0.965, 0.774, 0.777, 0.8295, 0.87]"
1,,0.994,vcl_k-center_200,[0.994]
2,,0.26375,vcl_k-center_200,"[0.5055, 0.022]"
3,,0.3571666666666667,vcl_k-center_200,"[0.505, 0.4885, 0.078]"
4,,0.478375,vcl_k-center_200,"[0.501, 0.3655, 0.5505, 0.4965]"
5,,0.5818000000000001,vcl_k-center_200,"[0.384, 0.4765, 0.7805, 0.5775, 0.6905]"
1,,0.991,vcl_k-center_200,[0.991]
2,,0.2674999999999999,vcl_k-center_200,"[0.5165, 0.0185]"
3,,0.6721666666666666,vcl_k-center_200,"[0.8805, 0.66, 0.476]"
4,,0.71075,vcl_k-center_200,"[0.872, 0.8765, 0.58, 0.5145]"
5,,0.777,vcl_k-center_200,"[0.5145, 0.643, 0.9905, 0.975, 0.762]"
1,,0.993,vcl_ewc,[0.993]
