model,trained_on,avg_acc
vcl_ewc,1,1.0
vcl_ewc,2,0.9082777036048064
vcl_ewc,3,0.9165109034267912
vcl_ewc,4,0.9158210947930574
vcl_ewc,5,0.917863818424566
vcl,1,1.0
vcl,2,0.8857142857142857
vcl,3,0.8955051179350244
vcl,4,0.8926568758344459
vcl,5,0.8973564753004005
vcl_random_200,1,1.0
vcl_random_200,2,0.8754339118825101
vcl_random_200,3,0.8528704939919893
vcl_random_200,4,0.8614819759679573
vcl_random_200,5,0.871935914552737
vcl_k-center_200,1,1.0
vcl_k-center_200,2,0.8829105473965286
vcl_k-center_200,3,0.7698264352469959
vcl_k-center_200,4,0.8094793057409879
vcl_k-center_200,5,0.8271829105473965
coreset_only_random_200,1,0.9679658302189
coreset_only_random_200,2,0.8511649631435971
coreset_only_random_200,3,0.7836642604210252
coreset_only_random_200,4,0.6481636665224393
coreset_only_random_200,5,0.565466209796012
coreset_only_k-center_200,1,0.9738387613454352
coreset_only_k-center_200,2,0.716889149939731
coreset_only_k-center_200,3,0.8366816430330908
coreset_only_k-center_200,4,0.8445993305186413
coreset_only_k-center_200,5,0.652256341789052
ewc,1,0.9997330485851575
ewc,2,0.8597164968846164
ewc,3,0.7275265757439889
ewc,4,0.7136509294827701
ewc,5,0.6295060650363503
