model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[1.0],1.0,0.0,0.0
vcl,2,"[1.0, 0.7714285714285715]",0.8857142857142857,0.0,0.0
vcl,3,"[1.0, 0.7730307076101469, 0.9134846461949265]",0.8955051179350244,0.0,0.0
vcl,4,"[1.0, 0.7727636849132177, 0.9126835781041388, 0.8851802403204272]",0.8926568758344459,0.0,0.0
vcl,5,"[1.0, 0.7711615487316422, 0.9132176234979973, 0.8865153538050734, 0.9158878504672897]",0.8973564753004005,2.7275478415665333,-1.7275478415665333
vcl_random_200,1,[1.0],1.0,0.0,0.0
vcl_random_200,2,"[1.0, 0.75086782376502]",0.8754339118825101,0.0,0.0
vcl_random_200,3,"[1.0, 0.75086782376502, 0.807743658210948]",0.8528704939919893,0.0,0.0
vcl_random_200,4,"[1.0, 0.7487316421895861, 0.8050734312416555, 0.8921228304405875]",0.8614819759679573,0.0,0.0
vcl_random_200,5,"[1.0, 0.7511348464619493, 0.8085447263017357, 0.8923898531375167, 0.9076101468624833]",0.871935914552737,2.659045393858478,-1.6590453938584782
vcl_k-center_200,1,[1.0],1.0,0.0,0.0
vcl_k-center_200,2,"[1.0, 0.7658210947930574]",0.8829105473965286,0.0,0.0
vcl_k-center_200,3,"[1.0, 0.7642189586114819, 0.545260347129506]",0.7698264352469959,0.0,0.0
vcl_k-center_200,4,"[1.0, 0.7706275033377837, 0.5527369826435247, 0.9145527369826435]",0.8094793057409879,0.0,0.0
vcl_k-center_200,5,"[1.0, 0.7703604806408545, 0.5519359145527369, 0.9164218958611482, 0.897196261682243]",0.8271829105473965,2.5574766355140186,-1.5574766355140186
vcl_pca-k-center_200,1,[1.0],1.0,0.0,0.0
vcl_pca-k-center_200,2,"[1.0, 0.7759679572763685]",0.8879839786381842,0.0,0.0
vcl_pca-k-center_200,3,"[1.0, 0.7770360480640854, 0.6520694259012016]",0.8097018246550958,0.0,0.0
vcl_pca-k-center_200,4,"[1.0, 0.77543391188251, 0.6451268357810414, 0.8827770360480641]",0.8258344459279039,0.0,0.0
vcl_pca-k-center_200,5,"[1.0, 0.7757009345794392, 0.6381842456608812, 0.8822429906542056, 0.8384512683578104]",0.8269158878504672,2.610603026257232,-1.6106030262572322
vcl_ewc,1,[1.0],1.0,0.0,0.0
vcl_ewc,2,"[1.0, 0.7810413885180241]",0.890520694259012,0.0,0.0
