trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,1.0,vcl,[1.0]
2,,0.8946595460614153,vcl,"[1.0, 0.7893190921228305]"
3,,0.9068090787716956,vcl,"[1.0, 0.7895861148197597, 0.930841121495327]"
4,,0.9062082777036048,vcl,"[1.0, 0.7893190921228305, 0.9303070761014687, 0.9052069425901201]"
5,,0.9104939919893192,vcl,"[1.0, 0.788785046728972, 0.9316421895861148, 0.9046728971962616, 0.927369826435247]"
1,,1.0,vcl_random_200,[1.0]
2,,0.8667556742323097,vcl_random_200,"[1.0, 0.7335113484646195]"
3,,0.8231419670672008,vcl_random_200,"[1.0, 0.7260347129506008, 0.7433911882510014]"
4,,0.830373831775701,vcl_random_200,"[1.0, 0.7265687583444593, 0.7439252336448599, 0.8510013351134846]"
5,,0.8462483311081442,vcl_random_200,"[1.0, 0.7249666221628839, 0.7484646194926569, 0.8459279038718291, 0.9118825100133512]"
1,,1.0,vcl_k-center_200,[1.0]
2,,0.8124165554072096,vcl_k-center_200,"[1.0, 0.6248331108144193]"
3,,0.6356030262572319,vcl_k-center_200,"[1.0, 0.6269692923898531, 0.2798397863818425]"
4,,0.6177570093457944,vcl_k-center_200,"[1.0, 0.6256341789052069, 0.2779706275033378, 0.5674232309746329]"
5,,0.6155941255006676,vcl_k-center_200,"[1.0, 0.6256341789052069, 0.27716955941255006, 0.5679572763684914, 0.6072096128170894]"
1,,1.0,vcl_k-center_200,[1.0]
2,,0.7699599465954606,vcl_k-center_200,"[1.0, 0.5399198931909213]"
3,,0.6144192256341788,vcl_k-center_200,"[1.0, 0.5393858477970628, 0.30387182910547395]"
4,,0.5996662216288384,vcl_k-center_200,"[1.0, 0.5393858477970628, 0.3062750333778371, 0.5530040053404539]"
5,,0.5859012016021362,vcl_k-center_200,"[1.0, 0.5399198931909213, 0.3060080106809079, 0.5519359145527369, 0.5316421895861149]"
1,,1.0,vcl_ewc,[1.0]
2,,0.910547396528705,vcl_ewc,"[1.0, 0.8210947930574098]"
3,,0.9170449488206498,vcl_ewc,"[1.0, 0.8208277703604806, 0.9303070761014687]"
4,,0.9112817089452604,vcl_ewc,"[1.0, 0.8208277703604806, 0.9300400534045394, 0.8942590120160213]"
5,,0.9123631508678238,vcl_ewc,"[1.0, 0.8213618157543391, 0.930841121495327, 0.8902536715620828, 0.9193591455273699]"
1,,1.0,vcl_ewc_random_200,[1.0]
2,,0.8495327102803738,vcl_ewc_random_200,"[1.0, 0.6990654205607477]"
3,,0.7245215843346684,vcl_ewc_random_200,"[1.0, 0.6977303070761015, 0.47583444592790386]"
4,,0.7699599465954605,vcl_ewc_random_200,"[1.0, 0.6993324432576769, 0.47423230974632846, 0.9062750333778371]"
5,,0.7972229639519359,vcl_ewc_random_200,"[1.0, 0.6993324432576769, 0.47503337783711613, 0.9065420560747663, 0.9052069425901201]"
1,,1.0,vcl_ewc_k-center_200,[1.0]
2,,0.8236315086782376,vcl_ewc_k-center_200,"[1.0, 0.6472630173564753]"
3,,0.6058744993324433,vcl_ewc_k-center_200,"[1.0, 0.6472630173564753, 0.17036048064085446]"
4,,0.6114819759679573,vcl_ewc_k-center_200,"[1.0, 0.6472630173564753, 0.1706275033377837, 0.6280373831775701]"
5,,0.6084913217623498,vcl_ewc_k-center_200,"[1.0, 0.6472630173564753, 0.1706275033377837, 0.6288384512683578, 0.5957276368491322]"
1,,1.0,vcl_ewc_pca-k-center_200,[1.0]
2,,0.788785046728972,vcl_ewc_pca-k-center_200,"[1.0, 0.577570093457944]"
3,,0.6302625723186471,vcl_ewc_pca-k-center_200,"[1.0, 0.577570093457944, 0.3132176234979973]"
4,,0.629105473965287,vcl_ewc_pca-k-center_200,"[1.0, 0.5781041388518025, 0.31295060080106807, 0.6253671562082777]"
5,,0.6036315086782377,vcl_ewc_pca-k-center_200,"[1.0, 0.5789052069425901, 0.3126835781041388, 0.62456608811749, 0.5020026702269693]"
1,,0.9719701014415376,coreset_only_random_200,[0.9719701014415376]
2,,0.9405924753203596,coreset_only_random_200,"[0.9623598505072077, 0.9188251001335114]"
3,,0.7783804519807035,coreset_only_random_200,"[0.895621996796583, 0.5036048064085448, 0.9359145527369827]"
4,,0.8176954929049375,coreset_only_random_200,"[0.9215162840363054, 0.5041388518024033, 0.9145527369826435, 0.9305740987983978]"
5,,0.8267699021368232,coreset_only_random_200,"[0.7335824879871863, 0.6574098798397864, 0.939652870493992, 0.8483311081441922, 0.9548731642189586]"
1,,0.9615589962626802,coreset_only_k-center_200,[0.9615589962626802]
2,,0.6256657212285895,coreset_only_k-center_200,"[0.7637479978643886, 0.4875834445927904]"
3,,0.6358730665624998,coreset_only_k-center_200,"[0.9660971703150026, 0.5092122830440587, 0.43230974632843794]"
4,,0.6289749030029005,coreset_only_k-center_200,"[0.9559530165509877, 0.44779706275033376, 0.4720961281708945, 0.6400534045393859]"
5,,0.5836635000787667,coreset_only_k-center_200,"[0.900961025093433, 0.4403204272363151, 0.5116154873164219, 0.6248331108144193, 0.44058744993324434]"
1,,0.9719701014415376,coreset_only_pca-k-center_200,[0.9719701014415376]
2,,0.8192354711068754,coreset_only_pca-k-center_200,"[0.9263214095034704, 0.7121495327102804]"
3,,0.6969319714653054,coreset_only_pca-k-center_200,"[0.9693005872931126, 0.4288384512683578, 0.6926568758344459]"
4,,0.605438056935854,coreset_only_pca-k-center_200,"[0.5379071009076348, 0.5033377837116155, 0.6496662216288385, 0.7308411214953271]"
5,,0.5697853197393641,coreset_only_pca-k-center_200,"[0.7698878804057662, 0.540720961281709, 0.5901201602136181, 0.5511348464619492, 0.39706275033377836]"
