model,trained_on,avg_acc
vcl_ewc,1,0.9771
vcl_ewc,2,0.96545
vcl_ewc,3,0.9633333333333334
vcl_ewc,4,0.950875
vcl_ewc,5,0.93454
vcl,1,0.9765
vcl,2,0.96265
vcl,3,0.9448666666666666
vcl,4,0.921
vcl,5,0.91586
vcl_random_200,1,0.9701
vcl_random_200,2,0.9619
vcl_random_200,3,0.9525666666666668
vcl_random_200,4,0.9387
vcl_random_200,5,0.9168
vcl_k-center_200,1,0.9698
vcl_k-center_200,2,0.95225
vcl_k-center_200,3,0.9477
vcl_k-center_200,4,0.934025
vcl_k-center_200,5,0.92272
coreset_only_random_200,1,0.8042
coreset_only_random_200,2,0.75905
coreset_only_random_200,3,0.7360000000000001
coreset_only_random_200,4,0.7282
coreset_only_random_200,5,0.6826399999999999
coreset_only_k-center_200,1,0.8204
coreset_only_k-center_200,2,0.7303
coreset_only_k-center_200,3,0.6973666666666666
coreset_only_k-center_200,4,0.6443000000000001
coreset_only_k-center_200,5,0.60566
ewc,1,0.931
ewc,2,0.8283499999999999
ewc,3,0.8037333333333333
ewc,4,0.666725
ewc,5,0.64946
