trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,0.976,vcl,[0.976]
2,,0.95945,vcl,"[0.9525, 0.9664]"
3,,0.9490333333333332,vcl,"[0.9271, 0.9571, 0.9629]"
4,,0.943175,vcl,"[0.9156, 0.945, 0.9511, 0.961]"
5,,0.93406,vcl,"[0.8987, 0.9213, 0.9332, 0.9538, 0.9633]"
1,,0.9753,vcl,[0.9753]
2,,0.96125,vcl,"[0.9556, 0.9669]"
3,,0.9468666666666667,vcl,"[0.9294, 0.9511, 0.9601]"
4,,0.936925,vcl,"[0.9178, 0.9303, 0.9398, 0.9598]"
5,,0.92352,vcl,"[0.8982, 0.8992, 0.9202, 0.9453, 0.9547]"
1,,0.972,vcl_random_200,[0.972]
2,,0.964,vcl_random_200,"[0.9665, 0.9615]"
3,,0.9546,vcl_random_200,"[0.9596, 0.9527, 0.9515]"
4,,0.9496,vcl_random_200,"[0.9521, 0.943, 0.9482, 0.9551]"
5,,0.91952,vcl_random_200,"[0.9399, 0.8409, 0.9206, 0.9489, 0.9473]"
1,,0.969,vcl_k-center_200,[0.969]
2,,0.9588,vcl_k-center_200,"[0.9606, 0.957]"
3,,0.9528666666666666,vcl_k-center_200,"[0.9568, 0.9526, 0.9492]"
4,,0.94345,vcl_k-center_200,"[0.9526, 0.9419, 0.9263, 0.953]"
5,,0.93732,vcl_k-center_200,"[0.9472, 0.9298, 0.9155, 0.9423, 0.9518]"
1,,0.9683,vcl_k-center_200,[0.9683]
2,,0.95585,vcl_k-center_200,"[0.9563, 0.9554]"
3,,0.9482,vcl_k-center_200,"[0.958, 0.931, 0.9556]"
4,,0.94645,vcl_k-center_200,"[0.9541, 0.9275, 0.9461, 0.9581]"
5,,0.9372,vcl_k-center_200,"[0.9512, 0.9066, 0.9323, 0.9433, 0.9526]"
1,,0.9743,vcl_ewc,[0.9743]
2,,0.96265,vcl_ewc,"[0.9594, 0.9659]"
3,,0.9549666666666666,vcl_ewc,"[0.945, 0.9552, 0.9647]"
4,,0.917575,vcl_ewc,"[0.8981, 0.8887, 0.9263, 0.9572]"
5,,0.9122,vcl_ewc,"[0.8556, 0.8664, 0.9301, 0.951, 0.9579]"
1,,0.9701,vcl_ewc_random_200,[0.9701]
2,,0.95895,vcl_ewc_random_200,"[0.9618, 0.9561]"
3,,0.9492,vcl_ewc_random_200,"[0.9459, 0.9454, 0.9563]"
4,,0.942325,vcl_ewc_random_200,"[0.9333, 0.9336, 0.9499, 0.9525]"
5,,0.92656,vcl_ewc_random_200,"[0.9127, 0.8976, 0.9373, 0.9383, 0.9469]"
1,,0.9658,vcl_ewc_k-center_200,[0.9658]
2,,0.96305,vcl_ewc_k-center_200,"[0.962, 0.9641]"
3,,0.9546,vcl_ewc_k-center_200,"[0.9533, 0.9589, 0.9516]"
4,,0.945775,vcl_ewc_k-center_200,"[0.9518, 0.9513, 0.929, 0.951]"
5,,0.94392,vcl_ewc_k-center_200,"[0.9471, 0.9412, 0.9299, 0.9466, 0.9548]"
1,,0.97,vcl_ewc_pca-k-center_200,[0.97]
2,,0.9641,vcl_ewc_pca-k-center_200,"[0.9669, 0.9613]"
3,,0.954,vcl_ewc_pca-k-center_200,"[0.9593, 0.9504, 0.9523]"
4,,0.9523499999999999,vcl_ewc_pca-k-center_200,"[0.9573, 0.945, 0.9509, 0.9562]"
