model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9742],0.9742,0.0,0.0
vcl,2,"[0.9521, 0.961]",0.95655,0.0,0.0
vcl,3,"[0.896, 0.9515, 0.9611]",0.9362,0.0,0.0
vcl,4,"[0.8944, 0.9241, 0.949, 0.9606]",0.932025,0.0,0.0
vcl,5,"[0.8915, 0.9199, 0.9304, 0.9473, 0.9525]",0.92832,2.8458625,-1.8458625
vcl_random_200,1,[0.9702],0.9702,0.0,0.0
vcl_random_200,2,"[0.9629, 0.9623]",0.9626,0.0,0.0
vcl_random_200,3,"[0.9406, 0.9584, 0.9586]",0.9525333333333332,0.0,0.0
vcl_random_200,4,"[0.9275, 0.953, 0.9556, 0.955]",0.947775,0.0,0.0
vcl_random_200,5,"[0.9027, 0.9397, 0.9458, 0.9466, 0.9546]",0.93788,2.874120833333333,-1.8741208333333328
vcl_k-center_200,1,[0.9713],0.9713,0.0,0.0
vcl_k-center_200,2,"[0.9666, 0.9632]",0.9649,0.0,0.0
vcl_k-center_200,3,"[0.9586, 0.9431, 0.9583]",0.9533333333333333,0.0,0.0
vcl_k-center_200,4,"[0.9534, 0.9455, 0.9506, 0.9626]",0.953025,0.0,0.0
vcl_k-center_200,5,"[0.9472, 0.9273, 0.9442, 0.9463, 0.9457]",0.94214,2.880395833333333,-1.880395833333333
vcl_pca-k-center_200,1,[0.9712],0.9712,0.0,0.0
vcl_pca-k-center_200,2,"[0.96, 0.9568]",0.9584,0.0,0.0
vcl_pca-k-center_200,3,"[0.9416, 0.9442, 0.9614]",0.9490666666666666,0.0,0.0
vcl_pca-k-center_200,4,"[0.9323, 0.9332, 0.9555, 0.9542]",0.9438,0.0,0.0
vcl_pca-k-center_200,5,"[0.9094, 0.8651, 0.9144, 0.9254, 0.9475]",0.91236,2.8649666666666667,-1.8649666666666669
vcl_ewc,1,[0.9767],0.9767,0.0,0.0
vcl_ewc,2,"[0.9579, 0.9667]",0.9623,0.0,0.0
vcl_ewc,3,"[0.9382, 0.958, 0.9661]",0.9541,0.0,0.0
vcl_ewc,4,"[0.9182, 0.9357, 0.9512, 0.9606]",0.941425,0.0,0.0
vcl_ewc,5,"[0.8468, 0.9283, 0.9411, 0.9526, 0.9585]",0.92546,2.8754625,-1.8754625
vcl_ewc_random_200,1,[0.9687],0.9687,0.0,0.0
vcl_ewc_random_200,2,"[0.9665, 0.9599]",0.9632,0.0,0.0
vcl_ewc_random_200,3,"[0.9473, 0.9532, 0.9615]",0.954,0.0,0.0
vcl_ewc_random_200,4,"[0.9226, 0.9428, 0.9511, 0.9457]",0.94055,0.0,0.0
vcl_ewc_random_200,5,"[0.8884, 0.9316, 0.934, 0.93, 0.9531]",0.92742,2.871825,-1.871825
vcl_ewc_k-center_200,1,[0.9708],0.9708,0.0,0.0
vcl_ewc_k-center_200,2,"[0.96, 0.9656]",0.9628,0.0,0.0
vcl_ewc_k-center_200,3,"[0.9604, 0.9583, 0.9588]",0.9591666666666666,0.0,0.0
vcl_ewc_k-center_200,4,"[0.9506, 0.9516, 0.9512, 0.9496]",0.95075,0.0,0.0
vcl_ewc_k-center_200,5,"[0.9483, 0.9418, 0.9447, 0.9274, 0.9522]",0.94288,2.8827416666666665,-1.8827416666666663
vcl_ewc_random_200,1,[0.9716],0.9716,0.0,0.0
vcl_ewc_random_200,2,"[0.9648, 0.9605]",0.96265,0.0,0.0
vcl_ewc_random_200,3,"[0.9546, 0.9552, 0.9582]",0.956,0.0,0.0
vcl_ewc_random_200,4,"[0.9198, 0.9371, 0.9445, 0.9532]",0.93865,0.0,0.0
