trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,0.881,vcl,[0.881]
2,,0.7685,vcl,"[0.889, 0.648]"
3,,0.7406666666666667,vcl,"[0.887, 0.65, 0.685]"
4,,0.73775,vcl,"[0.8875, 0.65, 0.6875, 0.726]"
5,,0.7398,vcl,"[0.884, 0.6485, 0.69, 0.725, 0.7515]"
1,,0.8725,vcl_random_200,[0.8725]
2,,0.5982500000000001,vcl_random_200,"[0.8635, 0.333]"
3,,0.5569999999999999,vcl_random_200,"[0.792, 0.311, 0.568]"
4,,0.5075,vcl_random_200,"[0.698, 0.25, 0.5365, 0.5455]"
5,,0.5081,vcl_random_200,"[0.655, 0.193, 0.4845, 0.4565, 0.7515]"
1,,0.864,vcl_k-center_200,[0.864]
2,,0.4419999999999999,vcl_k-center_200,"[0.6395, 0.2445]"
3,,0.3215,vcl_k-center_200,"[0.5735, 0.1585, 0.2325]"
4,,0.5443749999999999,vcl_k-center_200,"[0.6625, 0.435, 0.494, 0.586]"
5,,0.5434,vcl_k-center_200,"[0.604, 0.499, 0.498, 0.5065, 0.6095]"
1,,0.8715,vcl_k-center_200,[0.8715]
2,,0.414,vcl_k-center_200,"[0.828, 0.0]"
3,,0.2788333333333333,vcl_k-center_200,"[0.8365, 0.0, 0.0]"
4,,0.19325,vcl_k-center_200,"[0.773, 0.0, 0.0, 0.0]"
5,,0.1601,vcl_k-center_200,"[0.8005, 0.0, 0.0, 0.0, 0.0]"
1,,0.819,vcl_ewc,[0.819]
2,,0.73675,vcl_ewc,"[0.8175, 0.656]"
3,,0.7176666666666667,vcl_ewc,"[0.8185, 0.6605, 0.674]"
4,,0.7092499999999999,vcl_ewc,"[0.818, 0.6625, 0.6785, 0.678]"
5,,0.7156,vcl_ewc,"[0.819, 0.6675, 0.67, 0.686, 0.7355]"
1,,0.875,vcl_ewc_random_200,[0.875]
2,,0.613,vcl_ewc_random_200,"[0.872, 0.354]"
3,,0.5956666666666667,vcl_ewc_random_200,"[0.8645, 0.3245, 0.598]"
4,,0.595375,vcl_ewc_random_200,"[0.864, 0.395, 0.5595, 0.563]"
5,,0.5860000000000001,vcl_ewc_random_200,"[0.81, 0.3855, 0.542, 0.5505, 0.642]"
1,,0.8825,vcl_ewc_k-center_200,[0.8825]
2,,0.44225,vcl_ewc_k-center_200,"[0.8845, 0.0]"
3,,0.2958333333333333,vcl_ewc_k-center_200,"[0.8875, 0.0, 0.0]"
4,,0.220875,vcl_ewc_k-center_200,"[0.8835, 0.0, 0.0, 0.0]"
5,,0.184,vcl_ewc_k-center_200,"[0.8755, 0.0, 0.0, 0.0, 0.0445]"
1,,0.881,vcl_ewc_pca-k-center_200,[0.881]
2,,0.40375,vcl_ewc_pca-k-center_200,"[0.8055, 0.002]"
3,,0.2436666666666666,vcl_ewc_pca-k-center_200,"[0.654, 0.001, 0.076]"
4,,0.1995,vcl_ewc_pca-k-center_200,"[0.6055, 0.0, 0.1, 0.0925]"
5,,0.4096999999999999,vcl_ewc_pca-k-center_200,"[0.723, 0.085, 0.283, 0.4635, 0.494]"
1,,0.7315,coreset_only_random_200,[0.7315]
2,,0.5785,coreset_only_random_200,"[0.729, 0.428]"
3,,0.4855,coreset_only_random_200,"[0.6575, 0.4145, 0.3845]"
4,,0.4206249999999999,coreset_only_random_200,"[0.623, 0.3775, 0.261, 0.421]"
5,,0.4133,coreset_only_random_200,"[0.54, 0.291, 0.392, 0.3195, 0.524]"
1,,0.7315,coreset_only_k-center_200,[0.7315]
2,,0.39075,coreset_only_k-center_200,"[0.737, 0.0445]"
3,,0.356,coreset_only_k-center_200,"[0.7055, 0.3225, 0.04]"
4,,0.33175,coreset_only_k-center_200,"[0.75, 0.324, 0.167, 0.086]"
5,,0.2929,coreset_only_k-center_200,"[0.6285, 0.4755, 0.217, 0.082, 0.0615]"
1,,0.721,coreset_only_pca-k-center_200,[0.721]
2,,0.369,coreset_only_pca-k-center_200,"[0.718, 0.02]"
3,,0.1959999999999999,coreset_only_pca-k-center_200,"[0.5625, 0.0, 0.0255]"
4,,0.193,coreset_only_pca-k-center_200,"[0.721, 0.003, 0.002, 0.046]"
5,,0.2085,coreset_only_pca-k-center_200,"[0.734, 0.0, 0.209, 0.084, 0.0155]"
