model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.878],0.878,0.0,0.0
vcl,2,"[0.8765, 0.622]",0.74925,0.0,0.0
vcl,3,"[0.8825, 0.653, 0.678]",0.7378333333333332,0.0,0.0
vcl,4,"[0.877, 0.6475, 0.6765, 0.76]",0.7402500000000001,0.0,0.0
vcl,5,"[0.877, 0.6495, 0.6795, 0.7485, 0.7445]",0.7398,2.2962083333333334,-1.2962083333333334
vcl_random_200,1,[0.875],0.875,0.0,0.0
vcl_random_200,2,"[0.868, 0.537]",0.7025,0.0,0.0
vcl_random_200,3,"[0.8585, 0.5415, 0.6545]",0.6848333333333333,0.0,0.0
vcl_random_200,4,"[0.8585, 0.5405, 0.6445, 0.721]",0.691125,0.0,0.0
vcl_random_200,5,"[0.8575, 0.517, 0.635, 0.7205, 0.738]",0.6936,2.170395833333333,-1.170395833333333
vcl_k-center_200,1,[0.8775],0.8775,0.0,0.0
vcl_k-center_200,2,"[0.8705, 0.313]",0.59175,0.0,0.0
vcl_k-center_200,3,"[0.8615, 0.325, 0.162]",0.4495,0.0,0.0
vcl_k-center_200,4,"[0.834, 0.3015, 0.237, 0.1255]",0.3745,0.0,0.0
vcl_k-center_200,5,"[0.8615, 0.345, 0.2135, 0.1465, 0.222]",0.3577,1.66725,-0.6672500000000001
vcl_pca-k-center_200,1,[0.873],0.873,0.0,0.0
vcl_pca-k-center_200,2,"[0.751, 0.6295]",0.69025,0.0,0.0
vcl_pca-k-center_200,3,"[0.7395, 0.5165, 0.552]",0.6026666666666667,0.0,0.0
vcl_pca-k-center_200,4,"[0.681, 0.5025, 0.474, 0.57]",0.556875,0.0,0.0
vcl_pca-k-center_200,5,"[0.641, 0.5025, 0.4755, 0.5195, 0.62]",0.5517000000000001,2.0078541666666667,-1.0078541666666667
vcl_ewc,1,[0.8805],0.8805,0.0,0.0
vcl_ewc,2,"[0.8825, 0.6645]",0.7735,0.0,0.0
vcl_ewc,3,"[0.882, 0.6625, 0.687]",0.7438333333333333,0.0,0.0
vcl_ewc,4,"[0.8795, 0.6625, 0.688, 0.714]",0.7359999999999999,0.0,0.0
vcl_ewc,5,"[0.8805, 0.659, 0.6785, 0.709, 0.7525]",0.7359,2.3255833333333333,-1.3255833333333331
vcl_ewc_random_200,1,[0.8795],0.8795,0.0,0.0
vcl_ewc_random_200,2,"[0.8805, 0.4685]",0.6745,0.0,0.0
vcl_ewc_random_200,3,"[0.8815, 0.4895, 0.608]",0.6596666666666667,0.0,0.0
vcl_ewc_random_200,4,"[0.8705, 0.497, 0.622, 0.674]",0.665875,0.0,0.0
vcl_ewc_random_200,5,"[0.8595, 0.5265, 0.637, 0.676, 0.7525]",0.6903,2.1068541666666665,-1.1068541666666665
vcl_ewc_k-center_200,1,[0.8835],0.8835,0.0,0.0
vcl_ewc_k-center_200,2,"[0.881, 0.2805]",0.58075,0.0,0.0
vcl_ewc_k-center_200,3,"[0.877, 0.293, 0.1135]",0.4278333333333333,0.0,0.0
vcl_ewc_k-center_200,4,"[0.872, 0.3075, 0.152, 0.0975]",0.3572499999999999,0.0,0.0
vcl_ewc_k-center_200,5,"[0.865, 0.31, 0.1535, 0.0845, 0.1805]",0.3187,1.628958333333333,-0.6289583333333331
vcl_ewc_pca-k-center_200,1,[0.874],0.874,0.0,0.0
vcl_ewc_pca-k-center_200,2,"[0.874, 0.39]",0.632,0.0,0.0
vcl_ewc_pca-k-center_200,3,"[0.8735, 0.3795, 0.1575]",0.4701666666666667,0.0,0.0
vcl_ewc_pca-k-center_200,4,"[0.874, 0.3925, 0.136, 0.285]",0.4218749999999999,0.0,0.0
vcl_ewc_pca-k-center_200,5,"[0.871, 0.423, 0.1565, 0.336, 0.254]",0.4081,1.7501041666666666,-0.7501041666666666
coreset_only_random_200,1,[0.7285],0.7285,0.0,0.0
coreset_only_random_200,2,"[0.677, 0.442]",0.5595,0.0,0.0
coreset_only_random_200,3,"[0.598, 0.432, 0.55]",0.5266666666666667,0.0,0.0
coreset_only_random_200,4,"[0.5465, 0.3345, 0.2435, 0.5795]",0.426,0.0,0.0
coreset_only_random_200,5,"[0.563, 0.537, 0.201, 0.4395, 0.572]",0.4625,1.6634166666666663,-0.6634166666666665
coreset_only_k-center_200,1,[0.7325],0.7325,0.0,0.0
coreset_only_k-center_200,2,"[0.7055, 0.37]",0.53775,0.0,0.0
coreset_only_k-center_200,3,"[0.6695, 0.491, 0.2645]",0.4749999999999999,0.0,0.0
coreset_only_k-center_200,4,"[0.6615, 0.4335, 0.0625, 0.273]",0.3576249999999999,0.0,0.0
coreset_only_k-center_200,5,"[0.6115, 0.386, 0.1435, 0.2975, 0.318]",0.3513,1.5578124999999996,-0.5578124999999996
coreset_only_pca-k-center_200,1,[0.7455],0.7455,0.0,0.0
coreset_only_pca-k-center_200,2,"[0.6985, 0.3965]",0.5475,0.0,0.0
coreset_only_pca-k-center_200,3,"[0.64, 0.1725, 0.3005]",0.371,0.0,0.0
coreset_only_pca-k-center_200,4,"[0.6155, 0.282, 0.4445, 0.243]",0.39625,0.0,0.0
coreset_only_pca-k-center_200,5,"[0.6465, 0.357, 0.3745, 0.244, 0.3995]",0.4043,1.489375,-0.4893749999999999
