model,trained_on,avg_acc
vcl,1,0.9995271867612292
vcl,2,0.9850721144384011
vcl,3,0.975448930847497
vcl,4,0.959988823424624
vcl,5,0.9401236415549926
vcl_ewc,1,0.9995271867612292
vcl_ewc,2,0.9843375404912904
vcl_ewc,3,0.981147649781195
vcl_ewc,4,0.9818448974478292
vcl_ewc,5,0.9849263452449288
ewc,1,0.9995271867612292
ewc,2,0.9707038480329164
ewc,3,0.9658732541774928
ewc,4,0.8652402357161911
ewc,5,0.8836674327485154
vcl_k-center_200,1,0.9995271867612292
vcl_k-center_200,2,0.9821338186499584
vcl_k-center_200,3,0.9756696601706296
vcl_k-center_200,4,0.964515278822206
vcl_k-center_200,5,0.9447734164775192
vcl_random_200,1,0.9990543735224586
vcl_random_200,2,0.9809179801010922
vcl_random_200,3,0.975775467546638
vcl_random_200,4,0.9713401731965188
vcl_random_200,5,0.9666033574951112
coreset_only_random_200,1,0.9995271867612292
coreset_only_random_200,2,0.9604766800267666
coreset_only_random_200,3,0.9450238951093182
coreset_only_random_200,4,0.9267055474888248
coreset_only_random_200,5,0.9267584753269528
coreset_only_k-center_200,1,0.9981087470449173
coreset_only_k-center_200,2,0.95232875570467
coreset_only_k-center_200,3,0.870259304445384
coreset_only_k-center_200,4,0.831884416705873
coreset_only_k-center_200,5,0.8348074835963437
