trained_on,prev_tasks_acc,avg_acc,model,tasks_acc
1,,0.9995271867612292,vcl,[0.9995271867612293]
2,,0.9845823984736608,vcl,"[0.9995271867612293, 0.9696376101860921]"
3,,0.9709829512117368,vcl,"[0.9995271867612293, 0.9240940254652301, 0.9893276414087513]"
4,,0.9719198628054516,vcl,"[0.9995271867612293, 0.9138099902056807, 0.991462113127001, 0.9828801611278952]"
5,,0.9755168723674708,vcl,"[0.9995271867612293, 0.9299706170421156, 0.9818569903948773, 0.9889224572004028, 0.9773071104387292]"
1,,0.9995271867612292,vcl_random_200,[0.9995271867612293]
2,,0.9647489019016724,vcl_random_200,"[0.9995271867612293, 0.9299706170421156]"
3,,0.96418441837359,vcl_random_200,"[0.9995271867612293, 0.9373163565132223, 0.955709711846318]"
4,,0.963917038365713,vcl_random_200,"[0.9995271867612293, 0.9343780607247796, 0.951974386339381, 0.9697885196374623]"
5,,0.944275524342258,vcl_random_200,"[0.9995271867612293, 0.9147894221351616, 0.9018143009605123, 0.9652567975830816, 0.9399899142713061]"
1,,0.9990543735224586,vcl_k-center_200,[0.9990543735224586]
2,,0.8932588224125515,vcl_k-center_200,"[0.9990543735224586, 0.7874632713026445]"
3,,0.8524990987548028,vcl_k-center_200,"[0.9990543735224586, 0.7409402546523016, 0.8175026680896478]"
4,,0.8332843552135808,vcl_k-center_200,"[0.9990543735224586, 0.7066601371204702, 0.768409818569904, 0.8590130916414904]"
5,,0.7891604450173229,vcl_k-center_200,"[0.9990543735224586, 0.672869735553379, 0.7668089647812166, 0.8272910372608258, 0.6797781139687342]"
1,,0.9995271867612292,vcl,[0.9995271867612293]
2,,0.988010410226844,vcl,"[0.9995271867612293, 0.9764936336924583]"
3,,0.9830795104475084,vcl,"[0.9995271867612293, 0.9657198824681684, 0.983991462113127]"
4,,0.9855472964811498,vcl,"[0.9995271867612293, 0.9657198824681684, 0.983991462113127, 0.9929506545820745]"
5,,0.9787139402667882,vcl,"[0.9995271867612293, 0.9637610186092067, 0.9791889007470651, 0.9944612286002014, 0.956631366616238]"
1,,0.9995271867612292,vcl_random_200,[0.9995271867612293]
2,,0.97282921531989,vcl_random_200,"[0.9995271867612293, 0.9461312438785504]"
3,,0.9580421502238732,vcl_random_200,"[0.9995271867612293, 0.9226248775710089, 0.951974386339381]"
4,,0.9574639582316616,vcl_random_200,"[0.9995271867612293, 0.8961802154750245, 0.9573105656350054, 0.9768378650553877]"
5,,0.9524145978756462,vcl_random_200,"[0.9995271867612293, 0.9240940254652301, 0.9685165421558164, 0.972809667673716, 0.897125567322239]"
1,,0.9995271867612292,vcl_k-center_200,[0.9995271867612293]
2,,0.9018204004325244,vcl_k-center_200,"[0.9995271867612293, 0.8041136141038198]"
3,,0.8453019045610213,vcl_k-center_200,"[0.9995271867612293, 0.6953966699314398, 0.8409818569903948]"
4,,0.8221923136243008,vcl_k-center_200,"[0.9995271867612293, 0.6699314397649363, 0.8388473852721452, 0.7804632426988922]"
5,,0.820546585191155,vcl_k-center_200,"[0.9995271867612293, 0.6635651322233105, 0.8831376734258272, 0.8182275931520645, 0.7382753403933434]"
1,,0.9995271867612292,vcl_k-center_200,[0.9995271867612293]
2,,0.85333851992322,vcl_k-center_200,"[0.9995271867612293, 0.7071498530852106]"
3,,0.8473395132140289,vcl_k-center_200,"[0.9995271867612293, 0.6748285994123409, 0.8676627534685165]"
4,,0.8545556108023249,vcl_k-center_200,"[0.9995271867612293, 0.6846229187071499, 0.891675560298826, 0.8423967774420946]"
5,,0.8469182426020098,vcl_k-center_200,"[0.9995271867612293, 0.6904995102840352, 0.932230522945571, 0.9138972809667674, 0.6984367120524458]"
1,,0.9995271867612292,vcl_ewc,[0.9995271867612293]
2,,0.9867776689520078,vcl_ewc,"[1.0, 0.9735553379040157]"
3,,0.9809348749194694,vcl_ewc,"[1.0, 0.9534769833496572, 0.9893276414087513]"
4,,0.9691850946669376,vcl_ewc,"[0.9995271867612293, 0.8971596474045054, 0.9855923159018143, 0.9944612286002014]"
5,,0.9798683130449624,vcl_ewc,"[0.9995271867612293, 0.954456415279138, 0.9871931696905016, 0.986404833836858, 0.9717599596570852]"
1,,0.9995271867612292,vcl_ewc_random_200,[0.9995271867612293]
2,,0.9777263749672944,vcl_ewc_random_200,"[0.9995271867612293, 0.9559255631733594]"
3,,0.963682333204475,vcl_ewc_random_200,"[0.9995271867612293, 0.9422135161606269, 0.9493062966915689]"
4,,0.9587246750845986,vcl_ewc_random_200,"[0.9995271867612293, 0.920666013712047, 0.9429028815368197, 0.9718026183282981]"
5,,0.9524677948636016,vcl_ewc_random_200,"[0.9995271867612293, 0.9226248775710089, 0.9450373532550693, 0.972809667673716, 0.9223398890569844]"
1,,0.9995271867612292,vcl_ewc_k-center_200,[0.9995271867612293]
2,,0.85333851992322,vcl_ewc_k-center_200,"[0.9995271867612293, 0.7071498530852106]"
3,,0.8312139034209639,vcl_ewc_k-center_200,"[0.9995271867612293, 0.6787463271302644, 0.8153681963713981]"
4,,0.8248835296736835,vcl_ewc_k-center_200,"[0.9995271867612293, 0.6620959843290891, 0.8383137673425827, 0.7995971802618328]"
5,,0.8073408723546857,vcl_ewc_k-center_200,"[0.9995271867612293, 0.6640548481880509, 0.9268943436499466, 0.7099697885196374, 0.7362581946545638]"
1,,0.9995271867612293,vcl_ewc_pca-k-center_200,[0.9995271867612293]
