model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl,2,"[0.9995271867612293, 0.9681684622918707]",0.98384782452655,0.0,0.0
vcl,3,"[0.9995271867612293, 0.9637610186092067, 0.9893276414087513]",0.9842052822597293,0.0,0.0
vcl,4,"[0.9995271867612293, 0.9711067580803134, 0.991462113127001, 0.9919436052366566]",0.9885099158013,0.0,0.0
vcl,5,"[0.9995271867612293, 0.9578844270323212, 0.9903948772678762, 0.9843907351460222, 0.9752899646999496]",0.9814974381814798,2.962071658067544,-1.962071658067544
vcl_random_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_random_200,2,"[0.9995271867612293, 0.931439764936337]",0.9654834758487832,0.0,0.0
vcl_random_200,3,"[0.9995271867612293, 0.9392752203721841, 0.9711846318036286]",0.9699956796456808,0.0,0.0
vcl_random_200,4,"[0.9995271867612293, 0.8628795298726738, 0.9092849519743863, 0.9702920443101712]",0.9354959282296152,0.0,0.0
vcl_random_200,5,"[0.9995271867612293, 0.8584720861900098, 0.9461045891141943, 0.959214501510574, 0.9556227937468482]",0.9437882314645712,2.902990712989886,-1.9029907129898864
vcl_k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_k-center_200,2,"[0.9995271867612293, 0.9647404505386875]",0.9821338186499584,0.0,0.0
vcl_k-center_200,3,"[0.9995271867612293, 0.9696376101860921, 0.9578441835645678]",0.9756696601706296,0.0,0.0
vcl_k-center_200,4,"[0.9995271867612293, 0.9505386875612145, 0.9578441835645678, 0.9501510574018127]",0.964515278822206,0.0,0.0
vcl_k-center_200,5,"[0.9995271867612293, 0.9378060724779628, 0.9589114194236926, 0.9415911379657603, 0.8860312657589511]",0.9447734164775192,2.9398247116123057,-1.9398247116123053
vcl_pca-k-center_200,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_pca-k-center_200,2,"[0.9995271867612293, 0.9686581782566112]",0.9840926825089202,0.0,0.0
vcl_pca-k-center_200,3,"[0.9995271867612293, 0.9681684622918707, 0.9413020277481323]",0.9696658922670774,0.0,0.0
vcl_pca-k-center_200,4,"[0.9995271867612293, 0.9588638589618022, 0.9343649946638207, 0.9441087613293051]",0.9592162004290392,0.0,0.0
vcl_pca-k-center_200,5,"[0.9995271867612293, 0.9676787463271302, 0.8404482390608324, 0.9526686807653575, 0.8633383761976803]",0.924732245822446,2.933130268371132,-1.933130268371132
vcl_ewc,1,[0.9995271867612293],0.9995271867612292,0.0,0.0
vcl_ewc,2,"[0.9995271867612293, 0.9755142017629774]",0.9875206942621032,0.0,0.0
vcl_ewc,3,"[0.9995271867612293, 0.9647404505386875, 0.9887940234791889]",0.9843538869263684,0.0,0.0
